epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6276.73,1.12381,2.16436,1.37985,0.95715,0.96808,0.98167,0.72478,1.03972,1.42263,1.2766,0.000492625,0.000492625,0.000492625
43,6424.46,1.11811,2.15451,1.37702,0.9581,0.9658,0.98291,0.72892,1.0422,1.37555,1.27868,0.00048025,0.00048025,0.00048025
44,6573.51,1.11137,2.13015,1.3616,0.95764,0.97132,0.98314,0.73658,1.017,1.32073,1.25792,0.000467875,0.000467875,0.000467875
45,6723.28,1.11502,2.13163,1.37343,0.95602,0.96579,0.98138,0.73445,1.0201,1.42184,1.29234,0.0004555,0.0004555,0.0004555
46,6872.64,1.09449,2.11931,1.3613,0.95404,0.96917,0.97887,0.74206,0.99001,1.385,1.24859,0.000443125,0.000443125,0.000443125
47,7023.15,1.08992,2.09115,1.35818,0.96228,0.96411,0.98091,0.74468,0.98495,1.38251,1.26226,0.00043075,0.00043075,0.00043075
48,7175.84,1.09379,2.11988,1.35578,0.95613,0.96619,0.98024,0.74236,0.99373,1.36539,1.23969,0.000418375,0.000418375,0.000418375
49,7328.57,1.0842,2.07836,1.34297,0.95738,0.97019,0.97927,0.74514,0.98066,1.35647,1.22871,0.000406,0.000406,0.000406
50,7477.31,1.09013,2.06327,1.35005,0.96397,0.96564,0.98111,0.75171,0.95985,1.34756,1.2284,0.000393625,0.000393625,0.000393625
51,7625.61,1.0876,2.04441,1.34776,0.95743,0.96901,0.98108,0.74607,0.98614,1.3085,1.22332,0.00038125,0.00038125,0.00038125
52,7773.92,1.07447,2.03523,1.34464,0.96021,0.97012,0.98274,0.75196,0.9684,1.2828,1.23809,0.000368875,0.000368875,0.000368875
53,7924.68,1.07216,1.9978,1.34308,0.96139,0.97365,0.98244,0.74768,0.98453,1.27149,1.24311,0.0003565,0.0003565,0.0003565
54,8078.63,1.07882,2.01429,1.33892,0.96017,0.97147,0.98185,0.74796,0.97186,1.31409,1.23263,0.000344125,0.000344125,0.000344125
55,8229.62,1.06344,2.00848,1.33793,0.96266,0.97292,0.98165,0.75173,0.9684,1.2983,1.22976,0.00033175,0.00033175,0.00033175
56,8379.55,1.06681,2.01313,1.33479,0.96199,0.97095,0.98427,0.75509,0.96726,1.28771,1.22789,0.000319375,0.000319375,0.000319375
57,8528.85,1.05323,1.98153,1.32575,0.96529,0.97195,0.98467,0.75385,0.97918,1.30056,1.23313,0.000307,0.000307,0.000307
58,8677.18,1.04673,1.93264,1.32235,0.9642,0.97326,0.98457,0.7547,0.97411,1.27196,1.23632,0.000294625,0.000294625,0.000294625
59,8826.05,1.05061,1.95384,1.31897,0.9618,0.97307,0.98234,0.75133,0.97448,1.26382,1.23346,0.00028225,0.00028225,0.00028225
60,8976.29,1.05406,1.9533,1.32584,0.96425,0.97355,0.98374,0.75914,0.97139,1.21239,1.23283,0.000269875,0.000269875,0.000269875
61,9126.05,1.03965,1.92666,1.30977,0.9668,0.97546,0.98615,0.75948,0.96205,1.23178,1.21287,0.0002575,0.0002575,0.0002575
62,9275.81,1.04189,1.90635,1.31766,0.96616,0.97583,0.98495,0.75603,0.9777,1.20335,1.24236,0.000245125,0.000245125,0.000245125
63,9425.04,1.03079,1.90358,1.30889,0.96613,0.97594,0.98487,0.76214,0.96086,1.20641,1.22536,0.00023275,0.00023275,0.00023275
